date,pnl,cumulative_pnl,equity
2025-07-14,31588.199999999553,31588.199999999553,36588.19999999955
2025-07-15,29598.89999999843,61187.09999999798,66187.09999999798
2025-07-16,30152.880000003148,91339.98000000113,96339.98000000113
2025-07-17,21689.78000000189,113029.76000000302,118029.76000000302
2025-07-18,31229.140000002677,144258.9000000057,149258.9000000057
2025-07-20,0.0,144258.9000000057,149258.9000000057
2025-07-21,16425.180000001797,160684.0800000075,165684.0800000075
2025-07-22,16310.660000002244,176994.74000000974,181994.74000000974
2025-07-23,12387.000000001863,189381.7400000116,194381.7400000116
2025-07-24,18067.260000002338,207449.00000001394,212449.00000001394
2025-07-25,14818.720000002068,222267.720000016,227267.720000016
2025-07-27,0.0,222267.720000016,227267.720000016
2025-07-28,14297.860000001965,236565.58000001797,241565.58000001797
2025-07-29,21552.40000000267,258117.98000002065,263117.98000002065
2025-07-30,25945.800000002608,284063.78000002325,289063.78000002325
2025-07-31,22791.64000000246,306855.4200000257,311855.4200000257
2025-08-01,26385.800000002608,333241.2200000283,338241.2200000283
2025-08-03,0.0,333241.2200000283,338241.2200000283
2025-08-04,19246.280000002123,352487.50000003044,357487.50000003044
2025-08-05,19903.520000002347,372391.0200000328,377391.0200000328
2025-08-06,19295.56000000285,391686.58000003564,396686.58000003564
2025-08-07,20558.380000002915,412244.96000003855,417244.96000003855
2025-08-08,18795.50000000256,431040.4600000411,436040.4600000411
2025-08-10,0.0,431040.4600000411,436040.4600000411
2025-08-11,17506.86000000243,448547.32000004355,453547.32000004355
2025-08-12,16580.440000002738,465127.7600000463,470127.7600000463
2025-08-13,17394.240000003017,482522.0000000493,487522.0000000493
2025-08-14,21969.720000003,504491.7200000523,509491.7200000523
2025-08-15,24101.64000000333,528593.3600000556,533593.3600000556
2025-08-17,0.0,528593.3600000556,533593.3600000556
2025-08-18,20046.020000003045,548639.3800000587,553639.3800000587
2025-08-19,13574.86000000243,562214.2400000611,567214.2400000611
2025-08-20,6302.2400000016205,568516.4800000627,573516.4800000627
2025-08-21,5150.040000001434,573666.5200000642,578666.5200000642
2025-08-22,6939.540000001667,580606.0600000658,585606.0600000658
2025-08-24,0.0,580606.0600000658,585606.0600000658
2025-08-25,5715.840000001248,586321.9000000671,591321.9000000671
2025-08-26,7073.900000001537,593395.8000000686,598395.8000000686
2025-08-27,9520.220000001835,602916.0200000704,607916.0200000704
2025-08-28,9296.000000001863,612212.0200000723,617212.0200000723
2025-08-29,8972.100000001723,621184.120000074,626184.120000074
2025-08-31,0.0,621184.120000074,626184.120000074
2025-09-01,3613.7200000006706,624797.8400000747,629797.8400000747
2025-09-02,11979.100000002189,636776.9400000769,641776.9400000769
2025-09-03,9037.640000001993,645814.5800000789,650814.5800000789
2025-09-04,7065.800000001676,652880.3800000806,657880.3800000806
2025-09-05,10431.540000002598,663311.9200000832,668311.9200000832
2025-09-07,0.0,663311.9200000832,668311.9200000832
2025-09-08,6349.060000001686,669660.9800000848,674660.9800000848
2025-09-09,4943.460000001593,674604.4400000864,679604.4400000864
2025-09-10,5915.980000001611,680520.420000088,685520.420000088
2025-09-11,3982.7400000013877,684503.1600000894,689503.1600000894
2025-09-12,4576.800000001676,689079.9600000911,694079.9600000911
2025-09-14,0.0,689079.9600000911,694079.9600000911
2025-09-15,3575.7000000013504,692655.6600000925,697655.6600000925
2025-09-16,9761.080000002403,702416.7400000949,707416.7400000949
2025-09-17,8181.320000002161,710598.060000097,715598.060000097
2025-09-18,10166.060000002617,720764.1200000996,725764.1200000996
2025-09-19,10820.180000002729,731584.3000001024,736584.3000001024
2025-09-21,0.0,731584.3000001024,736584.3000001024
2025-09-22,3705.9800000011455,735290.2800001035,740290.2800001035
2025-09-23,10368.360000002198,745658.6400001057,750658.6400001057
2025-09-24,12858.780000002356,758517.4200001081,763517.4200001081
2025-09-25,14315.140000002692,772832.5600001108,777832.5600001108
2025-09-26,13849.000000002328,786681.5600001131,791681.5600001131
2025-09-28,0.0,786681.5600001131,791681.5600001131
2025-09-29,8706.600000001956,795388.160000115,800388.160000115
2025-09-30,6335.100000001723,801723.2600001168,806723.2600001168
2025-10-01,6893.460000002058,808616.7200001188,813616.7200001188
2025-10-02,7140.740000002319,815757.4600001212,820757.4600001212
2025-10-03,4701.540000001667,820459.0000001228,825459.0000001228
2025-10-05,0.0,820459.0000001228,825459.0000001228
2025-10-06,4501.760000001639,824960.7600001245,829960.7600001245
2025-10-07,8033.540000002133,832994.3000001266,837994.3000001266
2025-10-08,11824.560000002384,844818.860000129,849818.860000129
2025-10-09,11651.280000002589,856470.1400001316,861470.1400001316
2025-10-10,10885.700000003213,867355.8400001348,872355.8400001348
2025-10-12,0.0,867355.8400001348,872355.8400001348
2025-10-13,8114.520000002347,875470.3600001371,880470.3600001371
2025-10-14,8964.240000002552,884434.6000001397,889434.6000001397
2025-10-15,11567.040000003297,896001.640000143,901001.640000143
2025-10-16,12690.800000003539,908692.4400001465,913692.4400001465
2025-10-17,9055.4000000027,917747.8400001492,922747.8400001492
2025-10-19,0.0,917747.8400001492,922747.8400001492
2025-10-20,4712.0800000014715,922459.9200001507,927459.9200001507
2025-10-21,-58.81999999959953,922401.1000001511,927401.1000001511
2025-10-22,414.72000000067055,922815.8200001518,927815.8200001518
2025-10-23,14688.240000002552,937504.0600001543,942504.0600001543
2025-10-24,12618.000000002328,950122.0600001566,955122.0600001566
2025-10-26,0.0,950122.0600001566,955122.0600001566
2025-10-27,10079.060000002151,960201.1200001588,965201.1200001588
2025-10-28,5787.100000001723,965988.2200001605,970988.2200001605
2025-10-29,5100.360000001732,971088.5800001622,976088.5800001622
2025-10-30,6111.800000001676,977200.3800001639,982200.3800001639
2025-10-31,6243.320000001695,983443.7000001656,988443.7000001656
2025-11-02,0.0,983443.7000001656,988443.7000001656
2025-11-03,4714.940000001574,988158.6400001672,993158.6400001672
2025-11-04,3872.880000001285,992031.5200001685,997031.5200001685
2025-11-05,1410.460000001127,993441.9800001696,998441.9800001696
2025-11-06,479.0200000007171,993921.0000001703,998921.0000001703
2025-11-07,446.72000000067055,994367.720000171,999367.720000171
2025-11-09,0.0,994367.720000171,999367.720000171
2025-11-10,409.28000000072643,994777.0000001717,999777.0000001717
2025-11-11,205.16000000061467,994982.1600001723,999982.1600001723
2025-11-12,-61.39999999944121,994920.7600001729,999920.7600001729
2025-11-13,49.52000000048429,994970.2800001734,999970.2800001734
2025-11-14,1496.680000001099,996466.9600001745,1001466.9600001745
2025-11-16,0.0,996466.9600001745,1001466.9600001745
2025-11-17,403.6800000006333,996870.6400001751,1001870.6400001751
2025-11-18,1671.2000000011176,998541.8400001762,1003541.8400001762
2025-11-19,3523.14000000176,1002064.980000178,1007064.980000178
2025-11-20,4501.280000001658,1006566.2600001796,1011566.2600001796
2025-11-21,2688.2600000014063,1009254.520000181,1014254.520000181
2025-11-23,0.0,1009254.520000181,1014254.520000181
2025-11-24,2301.2600000009406,1011555.780000182,1016555.780000182
2025-11-25,2019.780000001425,1013575.5600001834,1018575.5600001834
2025-11-26,1250.6200000008103,1014826.1800001842,1019826.1800001842
2025-11-27,1277.420000000624,1016103.6000001848,1021103.6000001848
2025-11-28,1737.1400000008289,1017840.7400001857,1022840.7400001857
2025-11-30,0.0,1017840.7400001857,1022840.7400001857
2025-12-01,1948.0400000009686,1019788.7800001866,1024788.7800001866
2025-12-02,2435.7000000013504,1022224.480000188,1027224.480000188
2025-12-03,3279.780000001425,1025504.2600001894,1030504.2600001894
2025-12-04,5198.180000001797,1030702.4400001912,1035702.4400001912
2025-12-05,7026.160000002012,1037728.6000001932,1042728.6000001932
2025-12-07,0.0,1037728.6000001932,1042728.6000001932
2025-12-08,4135.860000001499,1041864.4600001947,1046864.4600001947
2025-12-09,844.9200000008568,1042709.3800001956,1047709.3800001956
2025-12-10,807.7000000008848,1043517.0800001965,1048517.0800001965
2025-12-11,436.09999998507556,1043953.1800001815,1048953.1800001815
2025-12-12,2131.8399999700487,1046085.0200001516,1051085.0200001516
2025-12-14,0.0,1046085.0200001516,1051085.0200001516
2025-12-15,879.8199999760836,1046964.8400001277,1051964.8400001277
2025-12-16,68.9399999845773,1047033.7800001123,1052033.7800001123
2025-12-17,306.9399999845773,1047340.7200000968,1052340.7200000968
2025-12-18,1110.659999968484,1048451.3800000653,1053451.3800000653
2025-12-19,29.21999998949468,1048480.6000000548,1053480.6000000548
2025-12-21,0.0,1048480.6000000548,1053480.6000000548
2025-12-22,388.45999998413026,1048869.060000039,1053869.060000039
2025-12-23,685.1199999861419,1049554.180000025,1054554.180000025
2025-12-24,839.1599999852479,1050393.3400000103,1055393.3400000103
2025-12-25,0.0,1050393.3400000103,1055393.3400000103
2025-12-26,1091.4599999729544,1051484.7999999833,1056484.7999999833
2025-12-28,0.0,1051484.7999999833,1056484.7999999833
2025-12-29,1031.8399999812245,1052516.6399999645,1057516.6399999645
2025-12-30,712.8599999863654,1053229.4999999509,1058229.4999999509
2025-12-31,1057.099999981001,1054286.5999999319,1059286.5999999319
2026-01-01,0.0,1054286.5999999319,1059286.5999999319
2026-01-02,917.579999981448,1055204.1799999133,1060204.1799999133
2026-01-04,0.0,1055204.1799999133,1060204.1799999133
2026-01-05,4557.959999956191,1059762.1399998695,1064762.1399998695
2026-01-06,3601.6199999582022,1063363.7599998277,1068363.7599998277
2026-01-07,134.09999998100102,1063497.8599998087,1068497.8599998087
2026-01-08,950.4399999789894,1064448.2999997877,1069448.2999997877
